type,stem,answer,explanation,difficulty,option_A,option_B,option_C,option_D,option_E
multiple,阿里云的云服务器 ECS 实例的可用区是指在同一地域内，电力和网络互相独立的物 理区域。 关于云服务器 ECS 可用区的说法正确的是 。,"B,C,D","看清题意,如果您的应用需要较高的容灾能力，建议您将云服务器 ECS 实例部署在 同一地域的 不同可用区内;如果您的应用在 ECS 实例之间需要非常低的网络时延,则建议 您将 ECS 实例创建在相 同的可用区内。",1,如果您的应用需要较高的容灾能力，建议您将云服务器 ECS 实例部署在同一地域的同 一可用区 内,同一可用区内的 ECS 实例之间的网络延时更小,在同一地域内不同可用区之间内网互通，可用区之间能做到机房级别的故障隔离,是否将云服务器 ECS 实例放在同一个可用区内，主要取决于对容灾能力和网络延时的 要求,如果您的应用在 ECS 实例之间需要非常低的网络时延，则建议您将 ECS 实例创建在不 同的可用 区内
multiple,"阿里云的云服务器 ECS 实例通常是黑客攻击的重要目标。针对云服务器 ECS 实例 的攻击有多 种类型, 攻击是专门针对云服务器 ECS 实例的操作系统的。","A,B,D",SQL 注入是针对 RDS 数据库进行的攻击。,1,SSH 密码暴力破解,RDP 密码暴力破解,SQL 注入,安装木马后门,
multiple,阿里云的云服务器 ECS 应用非常广泛，既可以单独使用作为简单的 Web 服务器，也 可以与其 他阿里云产品（如 OSS、CDN 等）搭配提供强大的多媒体解决方案。以下 是云服务器 ECS 的 典型应用场景。,"A,B,D,E","还想数据分析需要借助 Hadoop 等软件配合硬件来实现,ECS 不适合海量数据分析 的工作，也 不是 ECS 的典型应用场景。",1,多媒体、大流量的 APP 或网站,简单的 Web 应用,海量的数据分析,企业应用开发环境,访问量波动大的 APP 或网站 F. 企业官网
multiple,"阿里云的专有网络 VPC 可以帮助用户基于阿里云构建出一个隔离的网络环境。阿 里云的负载 均衡 SLB 支持专有网络 VPC,即在通过专有网络 VPC 隔离出的网络环境里 也可以使用负载均衡 SLB 服务。负载均衡 SLB 可以通过 两种方式支持专有网 络 VPCo","A,B",负载均衡 SLB 结合 VPC 使用的基础知识。,1,"用户可以申请使用自己 VPC 内的 IP 地址作为负载均衡 SLB 实例的私网地址,并挂载 VPC 的 ECS 实例","用户可以申请公网 IP 地址作为负载均衡 SLB 实例的公网地址,并挂载 VPC 的 ECS 实例","用户可以申请使用自己 VPC 内的 IP 地址作为负载均衡 SLB 实例的私网地址,并挂载 经典网络的 ECS 实例",用户可以申请公网 IP 地址作为负载均衡 SLB 实例的公网地址，并可以混合挂载经典网 络的 ECS 实例以及 VPC 的 ECS 实例,
single,"某企业使用负载均衡 SLB+云服务器 ECS+弹性伸缩(Auto Scaling)的架构搭建网站， 已经创建 了伸缩组，冷却时间设置为缺省值 300 秒，最小 ECS 数设置为 1,最大 ECS 数设 置为 100,并设定了伸 缩规则为“每次增加 1 台 ECS”,同时配置报警任务:“统计周期”设为 2 分钟，“重复几次后报警”设 置为 3,每当 CPU 使用率平均值超过 60%时,触发伸缩规则 定义的伸缩活动，当前伸缩组中有 10 台 ECS 实例。该网站业务在长达 1 小时的时间 段内发生了井喷式的爆发增长,CPU 的使用率会一直高于 60%, 这一小时期间，每两次触发 该报警任务的时间间隔最少为 加上创建一台 ECS 实例的消耗时间。",C,"此题考察的是:每两次触发该报警任务间隔时间。题目中的统计周期为 2min,重复 次数为 3,所 以每次报警任务的执行间隔时间是 23=6min,此间隔时间 6min 已经过了 300s(即 5min)的冷却时间的 限制了，所以本题答案是撮少时间间隔=周期重复次数，即 2min3=6min。此题经常考，需重视。",1,11 分钟,5 分钟,6 分钟,9 分钟,
single,"小王是某新闻网站的技术负责人，该网站目前部署在一台阿里云的云服务器 ECS 实 例上。随 着用户访问量的增加,小王发现用户访问网站的响应速度在变慢，通过分析发现是 应用服务器的 Web 会话数量太多且 CPU 利用率超过 75%O 为了快速缓解该应用服务 器的压力，您认为最紧要的事情是 o",A,"划重点:应用服务器的 CPU 利用率超过 75%,所以需要增加 ECS 来减轻这台服务 器的压力，同 时需要通过负载均衡 SLB 来实现他们的负载分担。",1,增加一台云服务器 ECS 实例，并釆用负载均衡 SLB 进行负载分担,釆用云数据库 RDS 进行新闻数据存储,釆用对象存储 OSS 进行内容的存储,釆用专有云 VPC 提升运维效率,
multiple,DDOS(分布式拒绝服务)攻击是指借助于客户端/服务器技术，将多个计算机联合起来作 为攻 击平台，对一个或多个目标发动 DDoS 攻击，从而成倍地提高攻击的破坏力，使目标服 务器无法提供 正常服务。以下—属于 DDoS 攻击。,"A,C,D","DDoS 有多种类型攻击,包括但不限于以下攻击类型 ICMP Flood,UDPFlood> TCP Flood、SYN Flood, ACK Flood 等",1,ACK Flood,SQL 注入,SYN Flood,DNS Flood,
multiple,阿里云的负载均衡 SLB 中的 Listener 是服务监听，每个监听都对应了后端的一个应 用服务。服 务监听(Listner)包含了以下 内容。,"A,B,C",监听需要配置打开，策略、健康检査配置等， https://help.aliyun.com/document_detail/85995.html,1,监听端口,负载均衡策略,健康检查配置,负载均衡 SLB 实例的 IP 地址,后端 ECS 实例个数
single,"OSS 防盗链是指调用 OSSAPI 的 PutBucketRefbrer 接口设置 Referer,用以防止他人盗 用 0SS 数据。 下列选项中，不会进行防盗链验证的是",D,当请求的 Header 中包含 Authorization 字段，不进行防盗链验证。仅当通过签名 URL 或者匿名 访问 Object 时，进行防盗链验证。 https://help.aliyun.eom/document_detail/31869.htm,1,通过签名 URL 访问 object,匿名访问 object,Bucket 权限为 public-read-write,请求的 Header 中有“Authorization”字段,
single,"www.bestcar.com 是一个刚建立的汽车资讯车友交流网站，主站用 Php 搭建，有 10GB 的图片素 材，部分 JS 文件。目前购买一台 ECS 放置所有程序代码，并在 ECS 上 安装 MySQL 数据库。随着用 户访问量的不断增长，访问网站的速度越来越慢，图片加载 慢,网站响应慢。用户上传的图片每周增 长 50GB。以下哪种产品组合方案可以同时解决 大量图片存储和快速访问两个问题？",A,题目中说了需要需要同时解决大量图片存储和快速访问，解决大量图片所以需要用 OSS 来存 储，实现快速访问所以需要用 CDN 来配合加速访问。,1,釆用 OSS+CDN 组合,釆用 OSS+MTS 组合,釆用 OSS+RDS 组合,釆用 OSS+ECS 组合,
multiple,阿里云的同一个账号在同一个地域的不同的云服务器 ECS 实例，可以通过安全组规 则设置 ECS 实例之间内网互通。同一个安全组下的 ECS 实例默认是内网互通的，不同 的安全组下 ECS 实例默认 是内网不通的。如果希望两台 ECS 实例 InstanceA 和 InstanceB 可以内网互通，以下操作中正确的包 括 。,"A,C","同一个账号在同一个地域的的情况下，通过安全组实现内网互通，要么是在同一个安 全组下 面,要么是两个安全组相互授权对方可以访问。",1,把 ECS 实例 InstanceA 和 InstanceB 放入到相同的安全组中，就可以满足内网都互通 了,为了实现内网互通，一定要把 ECS 实例 InstanceA 和 InstanceB 放在同一个安全组内,如果 ECS 实例 InstanceA 和 InstanceB 不在同一个安全组内，两个安全组各自增加授 权另一个安 全组可以访问的安全组规则，就可以满足内网都互通了,如果云服务器 ECS 实例 InstanceA 和 InstanceB 不在同一个安全组内，只需要在其中一 个安全组 内设置内网授权另一个安全组可以访问的安全组规则，就可以满足内网都互通了,
single,"跨站脚本攻击（Cross-site scripting,通常简称为 XSS）可被用于进行窃取隐私、钓鱼欺 骗、偷取 密码、传播恶意代码等攻击行为。请问 XSS 攻击主要发生在 -",A,"XSS,即为(Cross Site Scripting),中文名为跨站脚本，是发生在目标用户的浏览器层 面上的，当 渲染 DOM 树的过程成发生了不在预期内执行的 JS 代码时，就发生了 XSS 攻 击。",1,用户浏览器,WEB 应用的服务器,数据库,缓存服务器,
single,下列哪个阿里提供的操作系统是自带图形化界面的？,A,"Linux 系列的系统大部分是不带图形界面的,windows server 目前是 默认带图形化界面。",1,windows server2008,OpenSUSE,Ubuntu,CentOS,
multiple,"某创业团队开发了一款手机游戏，第一个版只使用阿里云的 1 台最高配置的云服务器 ECS 实例 和云数据库 RDS 实例。上线 3 周后做了一次推广,用户量以每天 300 人的 速度在增长，该 ECS 实例 的负载越来越高，已无法正常响应用户请求。并且在上周连续受 到了两次 6Gb 的 DDoS 攻击，服务 累计中断了 3 小时，使这个小团队感觉到网络安全和 高可用是当下最需要解决的两个问题。这种情 况下，通过增加阿里云的 品可以 解决 这些问题。","B,C,E","题目中主要遇到两个问题:第一是 ECS 实例的负载越来越高，所以需要增加云服务 器 ECS 实 例,然后配置到负截均衡 SLB 后端来实现负载，实现均衡负载来减轻当前 ECS 实例的压力。第二是受 到了两次 6Gb 的 DDoS 攻击，攻击的流量大于 5G,所以需要釆用 DDoS 高防 IP 来提供 DDoS 防护能力。",1,对像存储 OSS,负截均衡 SLB,DDoS 高防 IP,DDoS 基础防护,云服务器 ECS 实例
multiple,"阿里云的负载均衡 SLB 是对多台云服务器 ECS 实例进行流量分发的负载均衡服务, 支持四层和 七层的转发协议。其中四层服务主要是依据 把流量分发到对应的云 服务 器 ECS 实例上去。","A,D",,1,报文中的目标 IP 地址和端口,负载均衡 SLB 中设定的转发策略和规则,报文中真正有意义的应用层内容,报文中的源 IP 地址和端口,
single,弹性伸缩的伸缩规则指的是 o,B,弹性伸缩的伸缩规则定义了具体的扩展或收缩操作，例如加入或移出 N 个 ECS 实 例。,1,定义了 SLB 的监听规则,定义了具体的扩展或收缩操作,定义了组内 ECS 实例数的最大值、最小值,定义了用于弹性伸缩的 ECS 实例的配置信息,
single,阿里云的安骑士是云盾提供的用来保护服务器的产品，以下—不属于安骑士的功能。,B,防 WEB 应用系统的密码破解不属于安骑士的功能，而是属于 Web 应用防火墙的 功能。,1,木马文件检查,防 WEB 应用系统的密码破解,异地登录报警,防操作系统密码暴力破解,
single,如果您在创建 Linux 操作系统的云服务器 ECS 实例的同时选择增加了数据盘，以下 关于系统盘 和数据盘的说法中错误的是 。,D,"使用第三方工具对系统盘进行二次分区操作,可能会导致云服务器 ECS 出现异常。",1,在数据盘使用前，需要先格式化再 mount 数据盘,可以根据业务需要，对数据盘进行多分区配置,支持对数据盘进行二次分区,如果对系统盘进行二次分区操作，不会发生任何异常,
single,"阿里云的云服务器 ECS 产品的应用非常广泛，既可以单独的作为 Web 服务器，也可 以与其他 阿里云产品配合提供多媒体解决方案。在多媒体、大流量的 APP 或网站应用 场景下，云服务器 ECS 实例与阿里云的—产品搭配,可大幅减少用户访问的等待时间并 降低带宽费用。",B,题目中说了大幅减少用户访问的等待时间并降低带宽费用，意思就是加速访问，节省 带宽， 所以需要内容分发网络 CDN 来实现。,1,对象存储 OSS,内容分发网络 CDN,弹性伸缩 Auto Scaling,负载均衡 SLB,
single,"阿里云对象存储 OSS 为每个存储空间 Bucket 自动分配一个内网地址和一个外网地 址，如果正 确使用内网地址，一方面可以实现 OSSBucket 与云服务器 ECS 实例之间的流 量免费，另一方面云服 务器 ECS 实例通过内网访问 OSSBucket 的网络质量较好,能够有 效的提升部署在 ECS 实例上的应用 的上传和下载质量。以下关于 OSSBucket 内网地 址的描述正确的是 。",A,ECS 需要通过内网访问 OSS 的 Bucket 的话，需要和此 Bucket 处于同一地域。,1,如果 ECS 实例需要访问 OSSBucket 的内网地址，只能访问与 ECS 实例在同一地域的 Bucket,从公共云上的任意一台 ECS 实例都可以通过内网访问任何地域的 OSSBucket,"只要 ECS 实例和 OSSBucket 属于同一用户,ECS 实例就可以通过内网访问 OSS Bucket",如果 ECS 实例使用 OSSBucket 内网地址，只能访问与 ECS 实例在同一地域且在同一 可用区的 OSSBucket,
multiple,"某企业经营着一个电商平台，托管在传统机房。主要销售方式是靠会员好友之间推荐 和真实评 价来吸引客户，因此平台专门设置了一个交互式的论坛，平均 24 小时发贴量超过 5000 个。面临的主 要困难是:每周 2-3 次的 DDoS 攻击,每次的流量在 200M 到 1.5G 之间。另外论坛内容审核工作量大， 共投入了 6 个人 24 小时轮岗审核发贴内容中是否有 违规信息。公司上周决定要把平台全部迁至阿里 云上，使用云盾的—功能可以解决这些 困扰。","A,D","题目中主要遇到两个问题:第一是每周 2-3 次的 DDoS 攻击,每次的流量在 200M 到 1.5G 之间， 所以 DDoS 攻击的流量在 4.5G 以下，所以 DDoS 基础防护可以防护 5G 以下的 DDoS 攻击。第二是论 坛内容违规审核工作量大，所以需要釆用阿里绿网（现:内容 安全）来降低审核工作量。",1,DDoS 基础防护，可防护小规模的 DDoS 攻击,开启态势感知，自动屏蔽违法信息,开启安骑士，在用户发贴的当时就能立即阻止,开启内容安全（原名:绿网），具有自动识别违规内容的功能，可降低审 核工作量,
multiple,互联网的一次标准的网络层会话可以用五个元素来唯一标识，通常被称为“网络通信五 元组”， 在此基础之上可以对某些传输过程进行安全控制或防护。网络五元组由 部分组成。,"A,C,D,E","五元组是通信术语。通常是指源 IP 地址,源端口，目的 IP 地址，目的端口和传输层 协议。",1,源 IP,应用层协议,目标 IP,传输层协议,源端口 F. 目标端口
single,阿里云的专有网络 VPC 中用于连接 VPC 内的各个交换机的设备是 -,B,"路由器和交换机路由器（VRouter）是专有网络的枢纽。作为专有网络中重要的功能 组件，它 可以连接 VPC 内的各个交换机,同时也是连接 VPC 和其他网络的网关设备。",1,路由表,路由器,云服务器 ECS,负载均衡 SLB,
single,"您的两台阿里云的云服务器 ECS 实例之间内网不能通信,一定不是由于 原 因 引起的。",C,两台云服务器 ECS 实例之间内网不能通信，题目中问的一定不是什么原因导致的， 所以在同 一账号的同一地域是不会导致云服务器 ECS 实例之间内网不能通信的。,1,两台云服务器实例在不同地域,其中一台云服务器 ECS 实例修改过私网 IP,两台 ECS 实例在同一个账号下，同一个地域的不同可用区,两个云服务器 ECS 实例在不同的安全组,
single,用户通过网络使用软件，无需购买软硬件、建设机房等，而改用向提供商租用基于 Web 的软件， 来管理企业经营活动，且无需对软件进行维护，服务提供商会全权管理和维护 软件。这种模式是云 计算提供的 服务。,A,题目中说了是基于 Web 的软件，消费者只需要通过网络使用软件，不需要管理和维 护软件， 所以选择 SaaS（软件即服务）。,1,SaaS（软件即服务）,PaaS（平台即服务）,IaaS（基础设施即服务）,DaaS（数据即服务）,
single,PFX 是使用二进制的格式保存的个人证书，一般出现在 Windows Server 中，现在想把 该格式 的证书上传到阿里云的负载均衡 SLB 实例，以下说法正确的是 -,A,负载均衡只支持 PEM 格式的证书。假如是 PFX 格式或其他部分格式，需要现将 其转换成 PEM 格式再上传。,1,"负载均衡 SLB 不支持 PFX 格式的证书，只能先将其转换成 PEM 格式,再上传",负载均衡 SLB 支持 PFX 格式的证书，可以将其直接上传,"负载均衡 SLB 不支持 PFX 格式的证书，只能先将其转换成 DER 格式,再上传","负载均衡 SLB 不支持 PFX 格式的证书，只能先将其转换成 P7B 格式,再上传",
single,对于阿里云态势感知典型的功能点描述正确的是,E,文档原文:态势感知具备异常登录检测、网站后门查杀、网站后门查杀、进程异常 行为、敏感 文件篡改、异常网络连接、Linux 软件漏洞、Windows 系统漏洞、Web-CMS 漏洞、应急漏洞、Web 漏 洞扫描、主机基线、云产品基线、资产指纹、AK 和账号密码 泄露、数据大屏、日志检索、全量日志 分析。,1,恶意进程査杀,漏洞检测和修复,外部风险扫描:如 AK 泄露、账密泄露,全量安全日志，自动化入侵回溯,其它选项都正确
single,以下 安全功能需要单独购买，不是在创建阿里云的云服务器 ECS 实例的同 时可以免费 获得的。,D,DDoS 高防 IP 是需要付费购买的功能。基础 DDoS 防护是可以免费开通的。,1,基础 DDoS 防护,木马查杀,防暴力破解,DDoS 高防 IP,
single,阿里云的加密服务釆用 机制来保证密钥的安全。,A,"加密服务是云上的数据安全加密解决方案。服务底层使用经国家密码管理局检测认 证的硬件 密码机。密码机的关键还是加密算法，题目主要问的是机制,所以选择国家密码管 理局检测认证的加 密算法。",1,符合国家密码管理局要求的算法,符合银监会对密钥强度的要求,防篡改硬件密码机,国际通用密码算法,
multiple,"阿里云 OSS 图片处理服务(Image Service,简称 IMG),阿里云 OSS 图片处理服务有 哪些性能？","A,C,D",OSS 的图片处理为收费服务。所以是需要成本的。,1,海量图片处理,无成本,通过简单的 RESTful 接口对图片进行处理,可靠性高,
multiple,关于阿里云的云服务器 ECS 实例是否支持安装虚拟化程序的说法正确的包括,"A,C","］如果在云服务器 ECS 实例中部署虚拟化程序,服务器出现的问题是不可预测的。 阿里云强烈 不建议在云服务器 ECS 实例中部署虚拟化程序,这样会导致云服务器 ECS 出 现不可预测的问题。",1,云服务器 ECS 实例是基于虚拟化平台运行的，不支持部署虚拟化程序,"可以在云服务器 ECS 实例中部署虚拟化程序,阿里云提供相应的技术支持","如果在云服务器 ECS 实例中部署虚拟化程序,会导致服务器出现不可预测的问题",如果在云服务器 ECS 实例中部署虚拟化程序，服务器出现的问题是可以预测的,
single,您启动了一台新的阿里云的云服务器 ECS 实例，要求此实例只允许开放 80 端口的 公网访问。 可以通过以下哪个操作来实现此要求而不影响其它实例？,D,"题目中要求 ECS 实例只允许开放 80 端口的公网访问,所以需要新增安全组规则， 允许 80 端口 的公网入方向访问，将实例加入该组为了不影响其他实例，并将其从原先的默 认安全组移出。",1,在该实例所在的默认安全组添加一条公网访问规则仅允许 80 端口的公网入流量,在该实例所在的默认安全组添加一条公网访问规则仅允许 80 端口的公网出访问，并添 加一条公 网访问规则不允许所有的公网出流量,"新建一个安全组,并新增一条安全组规则允许 80 端口的公网入流量，将该云服务器实例 放入该安 全组","新建一个安全组,并新增一条安全组规则允许 80 端口的公网入流量，将该云服务器实例 放入该安 全组，并从原先的默认安全组挪出",
single,关于阿里云的云盾“DDoS 高防 IP”服务支持的“线路类型”说法正确的是,D,,1,仅支持 BGP+电信,仅支持电信+联通,仅支持联通+BPG+电信,仅支持电信+联通+BGP+HK 线路,
single,下列 参数代表的是负载均衡 SLB 实例的唯一标识？,A,负载均衡实例 ID 即 LoadBalancerld 是来区分不同负载均衡 SLB 实例的唯一标 识。,1,LoadBalancerId,Regionld,Address,LoadBalancerName,
single,当云服务器 ECS 实例选择了 CentOS 系统时，本地为 Windows 操作系统，采用 方 式无法正确的登录该 ECS 实例。,D,Windows 自带的远程桌面客户端只能连接 Windows 系统的远程界面，不能连接 Centos 系统 （Linux 系统）。,1,阿里云管理控制台,SecureCRT,Putty,Windows 自带的远程桌面客户端,
multiple,"路由表是阿里云专有网络 VPC 路由器上管理路由条目的列表,路由条目定义了通向 指定目标 网段的网络流量的下一跳地址。路由表支持通过 方式进行配置。","B,D",您可以通过专有网络 VPC 的管理控制台以及专有网络 VPC 的相关路由表接口来 管理配置路 由表，,1,远程登录到路由器进行控制,专有网络 VPC 的管理控制台,进入机房直接对路由器进行控制,阿里云 VPC 的 OpenAPI,
single,"阿里云对象存储 OSS 提供了海量的文件存储能力，对于文件管理除了支持简单上传、 断点续 传和大文件分片上传功能外，还提供了多种删除文件的功能。如果需要删除的 Object 数目很多，而 且删除的 Object 是有一定的规律,比如定期删除某些天之前的 Object, 或者干脆是要清空整个 Bucket, 特别适合使用哪个功能来完成？",C,"题目中说需要比如定期删除某些天之前的 Object,所以可以通过生命周期管理来管 理最合适。",1,管理控制台逐个删除,管理控制台批量删除,生命周期管理,通过 OpenAPI 逐个删除,
single,以下是 ECS 实例数据盘挂载点的是 ?,A,,1,/dev/xvdz,/dev/xvdd,/dev/xvda,"/dev/xvdb 解析：正常情况下用 fdisk-1 命令，可以查看到新增的硬盘。/dev/xvda 为系统 盘， /dev/xvdb,/dev/xvdc.../dev/xvdz 都是数据盘。所以/dev/xvda 为系统盘不会选择。",
single,下列哪种 状态表示负载均衡 SLB 后端服务器的状态表示未开启 SLB 健康 检査？,A,负载均衡 SLB 后端服务器的状态为 unavailable 的时候表示其未开启健康检査，,1,unavailable,available,abnormal,normal,
single,"阿里云弹性伸缩(Auto Scaling),是根据用户的业务需求和策略，自动调整其弹性计算资 源的管",A,"弹性伸缩手动添加 ECS,ECS 的状态必须为运行中。",1,运行中,已创建,已停止,准备中,
single,某企业利用某公共云服务，租用了若干台虚拟机，并把这些虚拟机放在一个隔离的虚拟 网络 中，可以完全掌控自己的虚拟网络，包括选择自有 IP 地址范围、划分网段、配置路由 表和网关等， 这个虚拟网络在公共云服务中通常称作 。,C,题目中说需要构建隔离的虚拟网络，所以需要用到阿里云专用网络 VPC 服务。,1,SDN 服务,NFV 服务,VPC 服务,VPN 服务,
single,阿里云弹性伸缩(Auto Scaling)提供了“弹性自愈”功能，能保持伸缩组中的云服务器 ECS 实 例都处在正常状态，从而使业务始终保持正常的负载，提高系统的稳定性。关于“弹 性自愈”，以 下说法中正确的是？,A,弹性自愈即当检测到某台 ECS 实例处于不健康状态时。弹性伸缩自动释放不健康 ECS 实例并 创建新的 ECS 实例，自动添加新 ECS 实例到负载均衡实例和 RDS 实例的 访问白名单中。最后的介 绍。,1,如果伸缩组中某台 ECS 实例状态不是运行中，则该 ECS 实例会被移出伸缩组，同时自动 创建一 台新的 ECS 实例，添加到伸缩组中来,如果伸缩组中某台 ECS 实例的状态不是运行中，阿里云弹性伸缩会启动 ECS 实例的故 障检査与 修复进程，对 ECS 实例进行自动修复,"如果伸缩组中某台 ECS 实例状态不是运行中，阿里云弹性伸缩首先会自动重启该 ECS, 重启成功 后继续保持在伸缩组中,如果重启失败，则从伸缩组中移除，同时创建新的 ECS 实 例键入到伸缩组 中来","如果伸缩组中某台 ECS 实例状态不是运行中，阿里云弹性伸缩首先会自动重启该 ECS, 重启成功 后继续保持在伸缩组中，如果重启失败,则会使用指定的镜像恢复该 ECS 实例到 初始状态,继续保持 在伸缩组中",
multiple,"您开通了阿里云的云服务器 ECS 实例之后,可以免费开通云盾的 的云服务器 ECS 实例的安全进行保护。","A,C","服务器安全托管不属于云盾功能,而是属于安全管家的服务。",1,DDoS 基础防护,内容安全,安骑士,服务器安全托管,
single,"在创建阿里云的云产品实例时，可以选择默认类型的专有网络 VPC 和交换机,这两项 配置确定 了专有网络类型的云产品创建时在相应地域和可用区下唯一的默认网络位置与 非默认的专有网络和 交换机之间的区别主要在于默认类型的 VPC 和交换机只能由阿里 云为您创建。下列关于默认交换机 的描述错误的是 o",B,B 选项，云产品可以选择创建在默认交换机中,1,默认交换机只能创建在默认专有网络中,如果您有已经创建的专有网络 VPC 和交换机，在创建专有网络 VPC 类型的云产品实 例时，云产 品实例就不会创建在默认交换机中,默认交换机与非默认交换机支持相同操作方式，且规格限制一致,默认交换机由阿里云为您创建，您自行创建的均为非默认交换机,
multiple,"阿里云的云服务器 ECS 拥有与传统服务器和虚拟主机无法企及的优势。阿里云基 于基于边界 网管协议（Border Gateway Protocol,BGP）的最优路由算法提供多线接入。以下 关于云服务器 ECS 的 多线 BGP 接入说法正确的是 o","A,C,D",,1,阿里云在骨干机房有出口带宽大和云服务器独享的出口带宽的特点,多线接入与云服务的质量无关,通过 BGP 多线机房，实现全国访问流畅均衡,通过多线接入可以实现更高的云服务质量,
single,阿里云的云盾的先知计划，是调动众多网络安全专家的力量一起维护互联网平台和业 务的安全， 降低客户的安全损失。先知计划为企业提供的是 服务。,A,"先知（安全众测）是一个帮助企业建立私有应急响应中心的平台（帮助企业收集漏洞信 息）, 尽早发现存在的漏洞可以有效地减少企业可能的损失。",1,为企业收集情报（漏洞）,为企业保障服务器安全,为企业保障网络安全,用大数据的方式为企业进行安全分析,
single,某大型购物商城新上了一套视频监控系统，在商城所在一个 5 层高的大楼里共安装了 35 个高 清摄像头，用于监控主要的出口通道。该系统的应用部署在一台阿里云的云服务 器 ECS 实例上，该 ECS 实例上挂了 4 块 2T 的数据盘来存储视频数据。上线后一周后 发现视频数据的增速过快，预计 8T 硬盘不出 1 个月就会用完。您认为使用阿里云的 品可以最好地解决该客户的存储问题，同时在 需要的时候快速读取到历史的视 频数据。,C,"题目中要求需要解决数据增长过快的问题，需要可以通过将视频文件存储到 OSS 中来解决问题， 因为 OSS 没有空间上限，不需要担心增长过快的问题,同时还可以满足快速 读取的要求。(归档存储 无法快速读取数据)",1,归档存储(Archive Storage),多台云服务器 ECS,对象存储 OSS,内容分发网络 CDN,
multiple,阿里云的云监控(CloudMonitor)是一项针对云资源和互联网应用进行监控的服务。 云监控服务 当前提供 功能。,"A,B,C,D",云监控包含了主机监控，自定义监控，站点监控，云服务监控，报警服务。,1,站点监控,云服务监控,自定义监控,报警服务,自定义防火墙
single,如果您不再需要某个阿里云的按量付费的云服务器 ECS 实例，可以将其释放。关于 按量付费 的实例释放的操作中，错误的是,C,自动释放时间可以多次设置，且随时可以释放按量付费的实例,1,您可以再次设置自动释放的时间并覆盖前一次的设置,通过定时释放设置为您的按量付费实例安排释放计划，选择一个未来的时间释放资源,不可以随时释放按量付费的实例,可以立即释放该按量付费的实例,
single,"某新媒体公司通过手机 APP 提供新闻资讯服务,釆用阿里云弹性伸缩(Auto Scaling) 来实现动态 添加或者减少云服务器 ECS 实例，来应对业务量的变化。该公司的业务人员 和技术人员相互配合， 估算出他们所需要的资源为闲时 10 台 ECS,但是有几个时间段业 务量会比较多，基本上集中在 7:30 到 9:00,18:30 到 20:00,随着时间点的不同,所需的 ECS 实例在 10 到 20 个之间动态变化。他们在伸缩 组中将最小实例个数设置为 10,最 大实例个数设置为 20-从容易部署以及节省成本的角度来考虑，他 们还需要配置一个什 么模式的任务？",A,"题目中说了,ECS 在这段时间内是动态变化的，以及要从节省成本的角度出发，定时 任务一下 子从 10 台增加到 20 台，这样虽然满足业务要求但是成本增加了，所以选择动态 任务既可以满足要 求还可以根据需求适当扩展 ECS 减少成本。",1,动态模式,定时模式,固定数量模式,lazy 模式,
single,阿里云的云盾态势感知用大数据分析技术，按攻击者的视角来建立安全防御体系，颠覆 了传统 单一的入侵和漏洞检测，让用户对安全“可见、可控、可管”。以下关于态势感知 功能的描述错误 的是 o,D,态势感知是对云上资产的诊断服务，服务器安全托管服务才是对 ECS 的托管。,1,"可以发现 webshell,恶意病毒攻击",利用大数据，可对高级攻击者使用的 Oday 漏洞攻击进行防御,实时捕捉云服务器 ECS 实例中的网络连接，利用情报信息做异常识别，发现僵尸网络,是一个针对阿里云服务器 ECS 的托管服务,
multiple,阿里云官网有很多阿里云内容分发网络 CDN 与其它云产品组合的方案与业务场景 供用户参考。以下锭峪 场景适合使用阿里云内容分发网络 CDNo,"B,C,D","日均低于 100 的访问次数，不适合用 CDN,因为热点不够，可能不足够形成 CDN 热 点文件。 同时从成本出发也不适合使用。",1,日访问次数低于 100 的 BBS 论坛,日访问次数大于 10 万次的阿里云虚拟主机纯静态站点,某中型电商类网站中的图片、html、css、js 文件,新闻门户网站，日访问人数超过 3000 万次，用户遍布全国各地,
single,针对阿里云专有网络 VPC 内的云服务器 ECS 实例，可以通过安全组来进行 ECS 实 例的访问控 制配置。以下说法中正确的是,D,专有网络 VPC 里面的交换机支持部署在同一地域的不同可用区，专有网络 VPC 类型的实例可 以加入同一专有网络(VPC)下的安全组,1,一个安全组中可以包含同一个可用区的不同 VPC 里的云服务器 ECS 实例,一个安全组中可以包含同一个地域的不同 VPC 里的云服务器 ECS 实例,一个安全组中仅可以包含同一个可用区的同一个 VPC 内的云服务器 ECS 实例,一个安全组中可以包含同一个地域的同一个专有网络 VPC 内的云服务器 ECS 实例,
single,"阿里云对象存储 OSS 的图片处理服务中,所有对图片的转换参数都会加在图片文件 的 URL 后 面，使 URL 变得冗长,不方便管理与阅读。为了简化操作,OSS 图片处理服务提 供了 功能,可以将 常见的转换参数保存起来多次使用。",A,图片样式：https://help.aliyun.com/document_detail/48884.html,1,样式,方案,短网址,管道,
